ID_RSSD_SUCCESSOR,TRNSFM_CD,DT_TRANS
1400894,"Failure, Government Assistance Provided",204
3742767,Charter Discontinued (Merger or Purchase & Assumption),159
3744529,Charter Discontinued (Merger or Purchase & Assumption),148
1987359,Charter Discontinued (Merger or Purchase & Assumption),121
480228,Charter Discontinued (Merger or Purchase & Assumption),115
852320,Charter Discontinued (Merger or Purchase & Assumption),113
233031,Charter Discontinued (Merger or Purchase & Assumption),109
451965,Charter Discontinued (Merger or Purchase & Assumption),102
1902110,Charter Discontinued (Merger or Purchase & Assumption),79
423355,Charter Discontinued (Merger or Purchase & Assumption),78
3316560,Charter Discontinued (Merger or Purchase & Assumption),71
504713,Charter Discontinued (Merger or Purchase & Assumption),68
1213683,"Failure, Government Assistance Provided",68
484422,Charter Discontinued (Merger or Purchase & Assumption),63
1117594,Charter Discontinued (Merger or Purchase & Assumption),63
2019024,Charter Discontinued (Merger or Purchase & Assumption),61
12311,Charter Discontinued (Merger or Purchase & Assumption),61
1148619,Charter Discontinued (Merger or Purchase & Assumption),60
491224,Charter Discontinued (Merger or Purchase & Assumption),58
817833,Charter Discontinued (Merger or Purchase & Assumption),57
606046,Charter Discontinued (Merger or Purchase & Assumption),57
214151,Charter Discontinued (Merger or Purchase & Assumption),55
817824,Charter Discontinued (Merger or Purchase & Assumption),54
1451551,Charter Discontinued (Merger or Purchase & Assumption),53
794037,Charter Discontinued (Merger or Purchase & Assumption),53
728854,Charter Discontinued (Merger or Purchase & Assumption),52
675332,Charter Discontinued (Merger or Purchase & Assumption),51
3486436,Charter Discontinued (Merger or Purchase & Assumption),51
280110,Charter Discontinued (Merger or Purchase & Assumption),49
372930,Charter Discontinued (Merger or Purchase & Assumption),49
208244,Charter Discontinued (Merger or Purchase & Assumption),49
767723,Charter Discontinued (Merger or Purchase & Assumption),49
1844283,Charter Discontinued (Merger or Purchase & Assumption),49
983448,Charter Discontinued (Merger or Purchase & Assumption),48
1383401,Charter Discontinued (Merger or Purchase & Assumption),48
147231,Charter Discontinued (Merger or Purchase & Assumption),48
1967463,Charter Discontinued (Merger or Purchase & Assumption),48
66855,Charter Discontinued (Merger or Purchase & Assumption),48
1120754,Charter Discontinued (Merger or Purchase & Assumption),48
441984,Charter Discontinued (Merger or Purchase & Assumption),47
