CIK,Name,Filing Date,Filing Year,Total asset check,Account receivable,Accumulated depreciation and amortization,Cash and cash equivalents,Cash and securities segregated for benefit of customers,Deferred tax asset,Deposits with clearing organizations,Due from customer and counterparties,Due from employees,Due from parent and affiliates,Exchange memberships,"Financial instruments owned, at fair value",Fixed assets,"Goodwill, net amortization",Other assets,Other receivables,Prepaid expenses and other assets,"Property, plant and equipment",Receivable from broker-dealers,Receivables from customers and counterparties,Reverse Repurchase Agreements (reverse-repo),Securities received as collateral,Total assets,U.S. government and government agency
1146184,CITADEL SECURITIES LLC ,2004-03-01,2003,Total asset found & match,,,41085221.0,,,,,,,9000000.0,,,,1307552144.0,1158454.0,,,628218696.0,621713.0,,,1987636228.0,
1146184,CITADEL SECURITIES LLC ,2006-03-01,2005,Total asset found & match,,,323873944.0,,,,,,,36578600.0,,,,5171070099.0,8366594.0,,,229726231.0,,,,5769615468.0,
1146184,CITADEL SECURITIES LLC ,2007-02-26,2006,Total asset found & match,,,74189000.0,,,,,,,39549000.0,5224232000.0,,,4413000.0,40620000.0,,,28144000.0,,280116000.0,,5691263000.0,
1146184,CITADEL SECURITIES LLC ,2008-02-29,2007,Total asset found & match,,,59144000.0,,,,,,,45602000.0,5263591000.0,,,15127000.0,31432000.0,,,1065548000.0,,282037000.0,,6762481000.0,
1146184,CITADEL SECURITIES LLC ,2009-03-02,2008,Total asset found & match,,,400517000.0,,,,,,,56478000.0,6594092000.0,,,5226767000.0,15141000.0,,,249033000.0,,449530000.0,,12991558000.0,
1146184,CITADEL SECURITIES LLC ,2012-02-28,2011,Total asset found & match,,,410574000.0,,,,,,,,5940930000.0,,,19167433000.0,26785000.0,,,135367000.0,5268000.0,7559669000.0,,33246026000.0,
1146184,CITADEL SECURITIES LLC ,2015-02-25,2014,Total asset found & match,,,346992000.0,,,,,,,,9509844000.0,,,27384964000.0,35624000.0,,,141380000.0,6876000.0,8033169000.0,,45458849000.0,
1146184,CITADEL SECURITIES LLC ,2016-02-24,2015,Total asset found & match,,,481269000.0,,,,,,,,5988055000.0,,,961302000.0,31047000.0,,,1382366000.0,,9593000.0,,8853632000.0,
1146184,CITADEL SECURITIES LLC ,2017-02-24,2016,Total asset found & match,,,449462000.0,,,,,,,,9281251000.0,,,1399083000.0,40476000.0,,,932263000.0,,7749000.0,,12110284000.0,
1146184,CITADEL SECURITIES LLC ,2019-02-28,2018,Total asset found & match,,,617000000.0,,,,,,,,30259000000.0,,,1896000000.0,73000000.0,,,1149000000.0,,938000000.0,,34932000000.0,
1146184,CITADEL SECURITIES LLC ,2021-02-25,2020,Total asset not found,,,,,,,,,,,,,,165000000.0,,,,,,,,,
1215680,SOUTH STREET SECURITIES LLC ,2004-03-01,2003,Total asset found & match,,,377386.0,,,,,,,,,171659.0,,9653.0,,101467.0,,,,,,660165.0,
1215680,SOUTH STREET SECURITIES LLC ,2005-03-01,2004,Total asset found & match,,,3633603.0,,,62696913.0,,,,,,166213.0,,,418925.0,31834.0,,,,6766156357.0,,6833103845.0,
1215680,SOUTH STREET SECURITIES LLC ,2006-03-01,2005,Total asset found & match,,,1133769.0,,,665000.0,,,,,3266510435.0,108373.0,,,,180736.0,,124513640.0,,6771563013.0,,10164674966.0,
