CIK,Name,Year,Accumulated depreciation and amortization,Cash and cash equivalents,Cash and securities segregated for benefit of customers,Deposits with clearing organizations,Due from employees,Exchange memberships,"Financial instruments owned, at fair value",Fixed assets,"Goodwill, net amortization",Other assets,Other receivables,"Property, plant and equipment",Receivable from broker-dealers,Receivables from customers and counterparties,Reverse Repurchase Agreements (reverse-repo),Securities received as collateral,U.S. government and government agency
1224385,"WELLS FARGO SECURITIES, LLC ",2004,,75176.0,,,,,,,6112.0,252738.0,44457.0,11067.0,4049708.0,51246.0,7944113.0,9075170.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2005,,10077.0,,,,,,,6112.0,318763.0,152967.0,10267.0,7080574.0,116572.0,11928982.0,15987341.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2006,,25655.0,,,,,,,6112.0,374025.0,112907.0,12845.0,4909150.0,112151.0,6812438.0,11664207.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2007,,748.0,,,,,,,6112.0,473701.0,116543.0,11464.0,4451402.0,21999.0,4249897.0,11548057.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2008,,10525.0,,,,,,,,534985.0,102706.0,10230.0,3712403.0,11652.0,4607831.0,12670485.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2009,,8235.0,,,,,,,,193182.0,66160.0,5075.0,2929755.0,15595.0,1754258.0,4608275.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2010,,55831.0,,,,,9048848.0,,79687.0,123560.0,,1119.0,4674419.0,50349.0,3465845.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2011,,13429.0,,,,,20635213.0,,79687.0,133014.0,,266.0,9224518.0,731044.0,6792762.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2012,,3964.0,,,,,24921307.0,,79687.0,79336.0,,1012.0,8917080.0,124507.0,5407174.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2013,,26219.0,,,,,25189555.0,,79687.0,79469.0,,4587.0,8163067.0,495149.0,9486351.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2014,,604738.0,,,,,29511653.0,,79687.0,270629.0,,3566.0,8930828.0,87811.0,8655983.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2015,,1188960.0,,,,,35236074.0,,79687.0,251917.0,,3290.0,20178482.0,154217.0,7743114.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2016,,1879796.0,,,,,43390061.0,,79687.0,429847.0,,1694.0,9219333.0,2980786.0,32550651.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2017,,740564.0,,,,,45293482.0,,79687.0,262158.0,,585.0,21632676.0,4093015.0,40838320.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2018,,1739790.0,,,,,47152169.0,,79687.0,478485.0,,740.0,24899786.0,4179195.0,52872348.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2019,,1441216.0,,,,,58934483.0,,79687.0,546582.0,506861.0,314.0,22175282.0,5278221.0,45361323.0,,
1224385,"WELLS FARGO SECURITIES, LLC ",2020,,2473302.0,,,,,59637269.0,,79687.0,496040.0,21102.0,6261.0,18717937.0,7125995.0,53276949.0,,
42352,GOLDMAN SACHS & CO. LLC ,2002,,24258610.0,,,,,31630471.0,,,1941781.0,,,4408164.0,13165513.0,114571529.0,,
42352,GOLDMAN SACHS & CO. LLC ,2003,,19384642.0,,,,,40528247.0,,,1716894.0,,,3964833.0,10265518.0,138122674.0,,
42352,GOLDMAN SACHS & CO. LLC ,2004,,26573659.0,,,,,53321469.0,,,1981583.0,,,7976880.0,10289117.0,167604597.0,,
42352,GOLDMAN SACHS & CO. LLC ,2005,,34330737.0,,,,,65452780.0,,,3329362.0,,,8974752.0,12342912.0,224160434.0,,
42352,GOLDMAN SACHS & CO. LLC ,2006,,43053739.0,,,,,106354891.0,,,5357602.0,,,9648246.0,14642116.0,296815545.0,,
42352,GOLDMAN SACHS & CO. LLC ,2007,,2008168.0,53236610.0,,,,105900570.0,,,7274550.0,,,9551828.0,16139054.0,315139956.0,,
42352,GOLDMAN SACHS & CO. LLC ,2008,,3815314.0,85274770.0,,,,444715435.0,,,5483735.0,,,20402378.0,22739706.0,50427432.0,,
42352,GOLDMAN SACHS & CO. LLC ,2010,,3273.0,11459.0,,,,345234.0,,,4894.0,,,8193.0,20203.0,70499.0,,
42352,GOLDMAN SACHS & CO. LLC ,2013,,6085.0,31478.0,,,,332787.0,,,2412.0,,,7588.0,20541.0,100204.0,,
42352,GOLDMAN SACHS & CO. LLC ,2014,,3118.0,31470.0,,,,144638.0,,,2883.0,,,7369.0,24675.0,310373.0,,
42352,GOLDMAN SACHS & CO. LLC ,2015,,5191.0,33775.0,,,,318496.0,,,2933.0,,,11922.0,24726.0,80033.0,,
42352,GOLDMAN SACHS & CO. LLC ,2016,,3977.0,40973.0,,,,292008.0,,,2603.0,,,10383.0,15514.0,89293.0,,
42352,GOLDMAN SACHS & CO. LLC ,2017,,7847.0,,,,,256246.0,,,2899.0,,,7337.0,19600.0,130720.0,,
42352,GOLDMAN SACHS & CO. LLC ,2018,,8867.0,,,,,263396.0,,,2044.0,,,12460.0,24261.0,142899.0,,
42352,GOLDMAN SACHS & CO. LLC ,2019,,14228.0,,,,,264924.0,,,2268.0,,,6769.0,18704.0,109772.0,,
58056,DEUTSCHE BANK SECURITIES INC. ,2002,,2260862.0,,,,,4057453.0,,1914245.0,14713369.0,,707411.0,5942282.0,3391662.0,83592513.0,11017454.0,11949845.0
58056,DEUTSCHE BANK SECURITIES INC. ,2003,,2372261.0,,,,,3928217.0,,,14481740.0,,763034.0,4841367.0,2502558.0,91562984.0,2618399.0,26999260.0
58056,DEUTSCHE BANK SECURITIES INC. ,2004,,392885.0,,,,,3371911.0,,,13321234.0,,825455.0,10275917.0,5564333.0,128135291.0,4813062.0,42015966.0
58056,DEUTSCHE BANK SECURITIES INC. ,2005,,4227517.0,,,,,2956788.0,,,16930566.0,,818661.0,23080097.0,3780020.0,151713622.0,5656621.0,44114412.0
58056,DEUTSCHE BANK SECURITIES INC. ,2006,,1275345.0,11451359.0,,,,3332514.0,,,39562286.0,1194284.0,781802.0,4671476.0,2218573.0,157103438.0,,42853647.0
58056,DEUTSCHE BANK SECURITIES INC. ,2007,,1597952.0,7870687.0,,,,103145058.0,,,15483759.0,,741731.0,7033249.0,2758524.0,179239762.0,,
58056,DEUTSCHE BANK SECURITIES INC. ,2008,,801082.0,8250562.0,,,,185612574.0,,,14298786.0,,709776.0,9435937.0,2366990.0,298304923.0,,
58056,DEUTSCHE BANK SECURITIES INC. ,2009,,595833.0,7768328.0,,,,83215065.0,,,13918503.0,,675483.0,8168655.0,1254740.0,128816671.0,,
58056,DEUTSCHE BANK SECURITIES INC. ,2010,,484117.0,8477617.0,,,,95118676.0,,,14161797.0,,647302.0,12164347.0,1608926.0,117030284.0,,
58056,DEUTSCHE BANK SECURITIES INC. ,2012,,4593364.0,9298972.0,,,,68969054.0,,,24627876.0,,619357.0,2541200.0,1844585.0,131584990.0,,
58056,DEUTSCHE BANK SECURITIES INC. ,2013,,1396.0,10170.0,,,,68067.0,,,23016.0,,623.0,2132.0,988.0,129379.0,4275.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2014,,1219.0,11725.0,,,,128329.0,,,19677.0,,595.0,2256.0,1638.0,51173.0,10839.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2015,,816.0,7931.0,,,,95451.0,,,18674.0,,562.0,4730.0,1558.0,39649.0,4267.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2016,,1098.0,8210.0,,,,96212.0,,,15094.0,,545.0,3811.0,1371.0,31769.0,2215.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2017,,1117.0,5158.0,,,,75486.0,,,1567.0,,517.0,2148.0,1904.0,46536.0,1650.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2018,,1060.0,3402.0,,,,22256.0,,,42314.0,,499.0,1790.0,3202.0,30465.0,3103.0,
58056,DEUTSCHE BANK SECURITIES INC. ,2019,,1196.0,,,,,22430.0,,,1525.0,,478.0,2897.0,1013.0,61407.0,,
58056,DEUTSCHE BANK SECURITIES INC. ,2020,,2051.0,,,,,20058.0,,,1847.0,,,1519.0,255.0,54341.0,,
68136,MORGAN STANLEY & CO. LLC ,2002,,39668338.0,,,,,,,,22364866.0,,52812.0,4369224.0,12271618.0,162274103.0,13098203.0,13526297.0
68136,MORGAN STANLEY & CO. LLC ,2003,,32117553.0,,,,,,,,24852869.0,,106242.0,1740681.0,10163277.0,172477261.0,11938059.0,11938314.0
68136,MORGAN STANLEY & CO. LLC ,2004,204544.0,22385307.0,,,,,,,,34504705.0,,90043.0,5444361.0,16428683.0,191571756.0,27155496.0,13103784.0
68136,MORGAN STANLEY & CO. LLC ,2005,311092.0,28854250.0,,,,,,,,35731802.0,,101670.0,10723023.0,22965544.0,262628996.0,37568640.0,13530131.0
68136,MORGAN STANLEY & CO. LLC ,2006,268970.0,31928015.0,,,,,,,,45971262.0,,,6715949.0,40585304.0,317587568.0,43312089.0,15330556.0
68136,MORGAN STANLEY & CO. LLC ,2007,,18006071.0,,,,,,,,73398030.0,,319122.0,5807883.0,72678486.0,329093012.0,62821183.0,21281038.0
68136,MORGAN STANLEY & CO. LLC ,2009,,45871321.0,,,,,161042.0,,,56585430.0,,840793.0,6892568.0,21946935.0,142519336.0,5168112.0,17436749.0
68136,MORGAN STANLEY & CO. LLC ,2010,,8462827.0,,,,,,,153042.0,49425258.0,,,5391114.0,15524258.0,278975721.0,13537342.0,41562645.0
68136,MORGAN STANLEY & CO. LLC ,2011,,4740994.0,,,,,28797800.0,,153042.0,30201836.0,,1073902.0,5552237.0,13573813.0,225176430.0,17593677.0,45673609.0
68136,MORGAN STANLEY & CO. LLC ,2012,,11201905.0,,,,,14335351.0,,146742.0,27285964.0,,1249291.0,3823743.0,14243009.0,203535834.0,12228388.0,64242899.0
68136,MORGAN STANLEY & CO. LLC ,2013,,10238063.0,,,,,13881972.0,,146742.0,29588445.0,,1235895.0,5239918.0,15554447.0,216258513.0,16214963.0,60707466.0
68136,MORGAN STANLEY & CO. LLC ,2014,,19044.0,,,,,87183.0,,145.0,16485.0,,1457.0,2944.0,11870.0,206846.0,21522.0,
68136,MORGAN STANLEY & CO. LLC ,2015,,19901.0,,,,,75561.0,,145.0,14224.0,,1603.0,2718.0,13114.0,194388.0,23480.0,
68136,MORGAN STANLEY & CO. LLC ,2016,,13749.0,,,,,63494.0,,,11903.0,,1363.0,3989.0,8660.0,183491.0,14692.0,
68136,MORGAN STANLEY & CO. LLC ,2017,,19034.0,,,,,79747.0,,,16035.0,,,4314.0,10750.0,159458.0,18700.0,
68136,MORGAN STANLEY & CO. LLC ,2018,,14310.0,,,,,83726.0,,,1201.0,,,10590.0,16929.0,157370.0,21155.0,
68136,MORGAN STANLEY & CO. LLC ,2019,,13837.0,,,,,93832.0,,,1450.0,,,7078.0,11766.0,159402.0,16441.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2003,,879361.0,,,,,,,,8223138.0,,25243.0,499273.0,182042.0,39850680.0,82841.0,7960231.0
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2004,,1283381.0,,,,,,,,10594640.0,,17093.0,398537.0,36533.0,44343153.0,,7277881.0
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2005,,547585.0,,,,,21232922.0,,,152288.0,,18111.0,1472994.0,121270.0,55155726.0,31215.0,
