CIK,Name,Year,Accounts payable,Accrued liabilities,Additional Paid-in capital,"Common stock, par value",Current liabilities,Government and agency securities obligations,Income tax payable,Long-term borrowing,Other equity,Other liabilities,Payable to Broker/Dealers,Payable to customers and counterparties,Payable to parent and affiliates,Repurchase Agreements (repo),Retained (Accumulated) earnings,Securities borrowed,Securities sold short,Short-term borrowing,Subordinated liabilities,Total liabilities,Total liabilities and shareholder's equity,Total shareholder's equity,Treasury stock
1224385,"WELLS FARGO SECURITIES, LLC ",2004,,27595.0,,,,,,,1216068.0,466901.0,1886438.0,44984.0,,13602472.0,39849.0,,3686980.0,,538500.0,19715370.0,21509787.0,1255917.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2005,,83799.0,,,,,,,,638879.0,3316738.0,75266.0,,21430507.0,,,6775259.0,,1183500.0,32320448.0,35611655.0,2107707.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2006,,59321.0,,,,,,,,761937.0,2199031.0,11388.0,,12026974.0,,,5059406.0,,1183500.0,20118057.0,24029490.0,2727933.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2007,2536.0,75497.0,,,,,,,2295102.0,985495.0,1885365.0,14354.0,,9294056.0,902450.0,,4241568.0,,1183500.0,16498871.0,20879923.0,3197552.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2008,,92477.0,,,,,,,2295102.0,836978.0,882136.0,19034.0,,11870678.0,724933.0,,3605979.0,,1333500.0,17307282.0,21660817.0,3020035.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2009,,39533.0,,,,,,,,659366.0,319461.0,2445.0,,2650005.0,,,2640934.0,,1983500.0,6311744.0,9580535.0,1285291.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2010,,,,,,,,,2396991.0,642851.0,946012.0,15680.0,,7675431.0,,,4339193.0,,1483500.0,13753891.0,17499658.0,2262267.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2011,,,,,,,,,1529736.0,1016081.0,2925217.0,514681.0,,22040467.0,1251074.0,,6849177.0,,1483500.0,33345623.0,37609933.0,2780810.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2012,,,,,,,,,1529736.0,559428.0,2207509.0,78520.0,,23950953.0,1301634.0,,7582787.0,,2323500.0,34379197.0,39534067.0,2831370.0,
1224385,"WELLS FARGO SECURITIES, LLC ",2013,,,,,,,,,1529736.0,692083.0,2220845.0,396554.0,,26378922.0,1781507.0,,8200937.0,,2323500.0,37889341.0,43524084.0,3311243.0,
